historical_project_id,project_name,state,district,project_type,land_area,affected_families,final_status,total_duration_days,latitude,longitude,start_date,is_synthetic,seed_version
21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,LA-MA-IND-0001,Madhya Pradesh,Indore,URBAN_DEVELOPMENT,82.2,320,COMPLETED,624,22.9904,75.9992,2020-03-10,True,v1.0-synthetic
83ca3544-7d38-4e22-b074-c8df93107fd4,LA-KE-THI-0002,Kerala,Thiruvananthapuram,IRRIGATION,177.7,1859,COMPLETED,999,8.5039,77.0037,2022-09-23,True,v1.0-synthetic
4735b0eb-7578-4560-9a45-8bdce3b2eb7a,LA-TE-WAR-0003,Telangana,Warangal,IRRIGATION,99.2,114,COMPLETED,579,18.0357,79.6981,2021-03-30,True,v1.0-synthetic
8dd67c04-4804-4fa4-a878-e939c1977db3,LA-UT-NOI-0004,Uttar Pradesh,Noida,OTHER,395.3,1333,COMPLETED,752,28.7822,77.2297,2020-11-08,True,v1.0-synthetic
b8916d3a-30de-4b05-93a9-dd42a2d21d41,LA-MA-PUN-0005,Maharashtra,Pune,DEFENSE,83.7,368,COMPLETED,290,18.3233,74.1435,2020-04-27,True,v1.0-synthetic
4eb77b1a-efe7-4dc8-a910-e320248dd3a0,LA-MA-PUN-0006,Maharashtra,Pune,DEFENSE,276.5,142,COMPLETED,1082,18.2232,74.0427,2022-07-08,True,v1.0-synthetic
b3ad0bb8-caa3-4933-ae50-f865aaebe33d,LA-GU-VAD-0007,Gujarat,Vadodara,POWER,67.9,386,COMPLETED,486,22.3762,72.8945,2021-07-05,True,v1.0-synthetic
985b3828-d09d-4b08-bd5c-c6b155f1bb45,LA-KA-BEN-0008,Karnataka,Bengaluru Urban,HIGHWAY,100.6,947,COMPLETED,1085,12.9856,77.7456,2021-07-21,True,v1.0-synthetic
51e43ee8-8eee-47ce-909f-645f46cc40c1,LA-MA-NAG-0009,Maharashtra,Nagpur,MINING,194.5,363,COMPLETED,1026,21.3768,78.9515,2021-02-26,True,v1.0-synthetic
afbf38ba-97a9-4d01-92f2-ebfc71497dd1,LA-GU-AHM-0010,Gujarat,Ahmedabad,POWER,216.7,1196,COMPLETED,556,23.2521,72.8033,2020-04-17,True,v1.0-synthetic
0164b97a-57a0-40bb-a371-72fb18e1c414,LA-JH-RAN-0011,Jharkhand,Ranchi,MINING,461.4,398,COMPLETED,717,23.2514,85.1504,2023-02-26,True,v1.0-synthetic
325d1f09-901a-436e-b4df-18c7d17e1ae8,LA-UT-LUC-0012,Uttar Pradesh,Lucknow,RAILWAY,420.5,901,COMPLETED,1020,26.6054,81.0544,2022-02-03,True,v1.0-synthetic
486bcf2b-7111-4f4b-88f0-bd4e956475a2,LA-TA-CHE-0013,Tamil Nadu,Chennai,HIGHWAY,466.9,1877,COMPLETED,544,13.3301,80.3061,2023-01-01,True,v1.0-synthetic
dc2e776e-394a-4ae7-9e89-f433b1532f4f,LA-JH-RAN-0014,Jharkhand,Ranchi,POWER,417.9,26,COMPLETED,1098,23.3989,85.1686,2020-09-12,True,v1.0-synthetic
b664a7aa-5e5f-44b9-873a-0d5962424e0e,LA-TA-COI-0015,Tamil Nadu,Coimbatore,IRRIGATION,108.1,928,COMPLETED,824,11.2318,77.1436,2022-12-28,True,v1.0-synthetic
661910f5-7e5c-4d0c-b220-927bf5abbbad,LA-WE-KOL-0016,West Bengal,Kolkata,IRRIGATION,20.4,928,COMPLETED,893,22.449,88.4546,2021-07-09,True,v1.0-synthetic
ccfc036f-c2a1-418f-a423-d708409e725d,LA-KA-BEN-0017,Karnataka,Bengaluru Urban,DEFENSE,168.3,1304,COMPLETED,751,12.8091,77.3549,2022-06-27,True,v1.0-synthetic
bf5f69a5-7547-4a3f-bf57-e43288fa4691,LA-WE-KOL-0018,West Bengal,Kolkata,HIGHWAY,79.6,1244,COMPLETED,1103,22.6704,88.3684,2021-05-18,True,v1.0-synthetic
caf6c53f-c906-48c3-9146-9353a8a049e3,LA-RA-JOD-0019,Rajasthan,Jodhpur,MINING,115.2,1421,COMPLETED,1177,26.0934,72.8982,2020-04-11,True,v1.0-synthetic
417557b0-9906-4f4b-9707-1f7185175f55,LA-KA-MYS-0020,Karnataka,Mysuru,RAILWAY,295.2,1839,COMPLETED,940,12.0412,76.6624,2021-04-18,True,v1.0-synthetic
9d8fa904-9871-4ffa-ab35-85a8ec51d67d,LA-KE-THI-0021,Kerala,Thiruvananthapuram,IRRIGATION,444.7,1392,COMPLETED,802,8.8115,77.0328,2021-02-22,True,v1.0-synthetic
4e2f60b1-a4b4-4313-a8f7-dc35d30c3820,LA-DE-NEW-0022,Delhi,New Delhi,POWER,471.1,1843,COMPLETED,785,28.6892,77.1735,2022-11-26,True,v1.0-synthetic
be47744d-5e76-4ed3-8aaa-7cf77e8529f3,LA-DE-NEW-0023,Delhi,New Delhi,POWER,144.8,1172,COMPLETED,910,28.4116,77.3875,2021-12-15,True,v1.0-synthetic
