"project_name","state","district","project_type","land_area","affected_families","current_stage","next_stage","snapshot_date","latitude","longitude","approvals_required","approvals_completed","approval_process_start_date","approval_expected_completion_date","oldest_pending_approval_days","legal_cases_total","legal_cases_resolved","disputed_land_area","oldest_pending_case_days","compensation_total_amount","compensation_paid_amount","beneficiaries_eligible","beneficiaries_compensated","compensation_expected_completion_date","documents_required","documents_submitted","documents_verified","notifications_required","notifications_issued","parcels_total","parcels_disputed","ownership_claims_total","ownership_conflicts_pending","ownership_conflicts_resolved","rr_families_required","rr_families_completed","land_required_for_possession","land_acquired_for_possession","possession_status","stakeholder_requests_raised","stakeholder_responses_received","average_response_time_days","departments_involved","coordination_requests_raised","coordination_requests_resolved"
"NH-44 Expressway Expansion (Section IV)","Maharashtra","Nagpur","HIGHWAY","145.5","420","Objection / Hearing","Land & Ownership Verification","2026-03-15","21.1458","79.0882","12","9","2025-06-01","2026-06-30","75","8","3","24.5","140","85000000","32000000","380","145","2026-10-31","420","310","240","4","3","520","45","540","32","18","120","35","145.5","45","IN_PROGRESS","18","11","14.5","4","12","7"
"Eastern Dedicated Freight Corridor (Package C)","Uttar Pradesh","Varanasi","RAILWAY","210","650","Land & Ownership Verification","Award / Valuation","2026-04-10","25.3176","82.9739","15","14","2025-01-15","2026-05-30","30","14","8","38","210","145000000","65000000","610","280","2026-12-31","650","580","490","6","6","780","62","810","48","34","210","85","210","95","IN_PROGRESS","25","19","11.2","5","16","11"
"Upper Krishna River Lift Irrigation Project","Karnataka","Mysuru","IRRIGATION","320","890","Award / Valuation","Compensation Disbursement","2026-05-02","12.2958","76.6394","18","16","2024-11-01","2026-07-15","45","6","5","12","90","220000000","154000000","840","590","2026-11-15","890","850","780","5","5","1120","28","1150","16","38","340","220","320","210","PARTIAL_POSSESSION","30","26","8.5","6","22","18"
"Sanand Industrial Mega Park Extension","Gujarat","Ahmedabad","INDUSTRIAL","180","230","Compensation Disbursement","Rehabilitation & Resettlement","2026-05-20","23.0225","72.5714","10","10","2025-03-01","2026-04-30","0","4","4","0","0","98000000","88000000","225","205","2026-08-31","230","230","220","3","3","340","5","345","3","12","65","58","180","155","PARTIAL_POSSESSION","12","12","6","3","9","9"
"Bengaluru Outer Ring Road Transit Corridor","Karnataka","Bengaluru Urban","URBAN","65.4","580","Notification","Objection / Hearing","2026-06-01","12.9716","77.5946","14","8","2025-08-10","2026-08-30","95","18","2","18.2","260","340000000","35000000","560","60","2027-03-31","580","320","190","4","2","420","85","490","65","12","190","15","65.4","8.5","NOT_STARTED","40","18","22.4","7","28","10"
"Solar Mega Ultra Power Park Bhadla Phase V","Rajasthan","Jodhpur","POWER","550","95","Rehabilitation & Resettlement","Possession","2026-06-15","26.2389","73.0243","11","11","2024-08-01","2025-12-31","0","2","2","0","0","62000000","60500000","92","90","2026-07-31","95","95","95","3","3","210","2","212","0","8","28","26","550","510","SUBSTANTIAL_POSSESSION","10","10","5.2","3","8","8"
"Chennai Port - Maduravoyal Elevated Corridor","Tamil Nadu","Chennai","HIGHWAY","42","720","Objection / Hearing","Land & Ownership Verification","2026-06-25","13.0827","80.2707","16","11","2025-04-12","2026-09-30","85","12","4","9.8","180","180000000","45000000","690","170","2026-12-31","720","480","360","5","4","610","74","660","48","19","240","50","42","12","IN_PROGRESS","22","14","16","5","18","10"
"Bhopal Metro Rail Phase II Depot & Viaduct","Madhya Pradesh","Bhopal","URBAN","38.5","310","Possession","Acquisition Completion","2026-07-01","23.2599","77.4126","12","12","2024-09-15","2026-01-31","0","5","5","0","0","52000000","51200000","305","301","2026-06-30","310","310","310","4","4","280","0","282","0","14","75","73","38.5","36.5","SUBSTANTIAL_POSSESSION","14","14","7.1","4","12","12"
"Hyderabad Pharma City Greenfield Pipeline","Telangana","Hyderabad","PIPELINE","88","180","Initial Assessment / SIA","Notification","2026-07-10","17.385","78.4867","8","3","2026-02-01","2026-11-30","60","1","0","4.5","45","48000000","0","175","0","2027-04-30","180","65","20","3","1","240","12","245","10","2","40","0","88","0","NOT_STARTED","15","6","18.5","4","10","3"
"Kochi Smart Port Logistics Multi-Modal Hub","Kerala","Kochi","PORT","110","340","Land & Ownership Verification","Award / Valuation","2026-07-15","9.9312","76.2673","13","10","2025-05-15","2026-08-30","50","7","3","14","130","115000000","48000000","320","130","2026-12-15","340","290","210","4","4","450","38","470","28","15","90","40","110","42","IN_PROGRESS","19","13","12","4","14","8"
