"Field Name","Value"
"project_name","NH-44 Expressway Expansion (Section IV)"
"state","Maharashtra"
"district","Nagpur"
"project_type","HIGHWAY"
"land_area","145.5"
"affected_families","420"
"current_stage","Objection / Hearing"
"next_stage","Land & Ownership Verification"
"snapshot_date","2026-03-15"
"latitude","21.1458"
"longitude","79.0882"
"approvals_required","12"
"approvals_completed","9"
"approval_process_start_date","2025-06-01"
"approval_expected_completion_date","2026-06-30"
"oldest_pending_approval_days","75"
"legal_cases_total","8"
"legal_cases_resolved","3"
"disputed_land_area","24.5"
"oldest_pending_case_days","140"
"compensation_total_amount","85000000"
"compensation_paid_amount","32000000"
"beneficiaries_eligible","380"
"beneficiaries_compensated","145"
"compensation_expected_completion_date","2026-10-31"
"documents_required","420"
"documents_submitted","310"
"documents_verified","240"
"notifications_required","4"
"notifications_issued","3"
"parcels_total","520"
"parcels_disputed","45"
"ownership_claims_total","540"
"ownership_conflicts_pending","32"
"ownership_conflicts_resolved","18"
"rr_families_required","120"
"rr_families_completed","35"
"land_required_for_possession","145.5"
"land_acquired_for_possession","45"
"possession_status","IN_PROGRESS"
"stakeholder_requests_raised","18"
"stakeholder_responses_received","11"
"average_response_time_days","14.5"
"departments_involved","4"
"coordination_requests_raised","12"
"coordination_requests_resolved","7"
