"Field Name","Value"
"project_name","Eastern Dedicated Freight Corridor (Package C)"
"state","Uttar Pradesh"
"district","Varanasi"
"project_type","RAILWAY"
"land_area","210"
"affected_families","650"
"current_stage","Land & Ownership Verification"
"next_stage","Award / Valuation"
"snapshot_date","2026-04-10"
"latitude","25.3176"
"longitude","82.9739"
"approvals_required","15"
"approvals_completed","14"
"approval_process_start_date","2025-01-15"
"approval_expected_completion_date","2026-05-30"
"oldest_pending_approval_days","30"
"legal_cases_total","14"
"legal_cases_resolved","8"
"disputed_land_area","38"
"oldest_pending_case_days","210"
"compensation_total_amount","145000000"
"compensation_paid_amount","65000000"
"beneficiaries_eligible","610"
"beneficiaries_compensated","280"
"compensation_expected_completion_date","2026-12-31"
"documents_required","650"
"documents_submitted","580"
"documents_verified","490"
"notifications_required","6"
"notifications_issued","6"
"parcels_total","780"
"parcels_disputed","62"
"ownership_claims_total","810"
"ownership_conflicts_pending","48"
"ownership_conflicts_resolved","34"
"rr_families_required","210"
"rr_families_completed","85"
"land_required_for_possession","210"
"land_acquired_for_possession","95"
"possession_status","IN_PROGRESS"
"stakeholder_requests_raised","25"
"stakeholder_responses_received","19"
"average_response_time_days","11.2"
"departments_involved","5"
"coordination_requests_raised","16"
"coordination_requests_resolved","11"
