"Field Name","Value"
"project_name","Upper Krishna River Lift Irrigation Project"
"state","Karnataka"
"district","Mysuru"
"project_type","IRRIGATION"
"land_area","320"
"affected_families","890"
"current_stage","Award / Valuation"
"next_stage","Compensation Disbursement"
"snapshot_date","2026-05-02"
"latitude","12.2958"
"longitude","76.6394"
"approvals_required","18"
"approvals_completed","16"
"approval_process_start_date","2024-11-01"
"approval_expected_completion_date","2026-07-15"
"oldest_pending_approval_days","45"
"legal_cases_total","6"
"legal_cases_resolved","5"
"disputed_land_area","12"
"oldest_pending_case_days","90"
"compensation_total_amount","220000000"
"compensation_paid_amount","154000000"
"beneficiaries_eligible","840"
"beneficiaries_compensated","590"
"compensation_expected_completion_date","2026-11-15"
"documents_required","890"
"documents_submitted","850"
"documents_verified","780"
"notifications_required","5"
"notifications_issued","5"
"parcels_total","1120"
"parcels_disputed","28"
"ownership_claims_total","1150"
"ownership_conflicts_pending","16"
"ownership_conflicts_resolved","38"
"rr_families_required","340"
"rr_families_completed","220"
"land_required_for_possession","320"
"land_acquired_for_possession","210"
"possession_status","PARTIAL_POSSESSION"
"stakeholder_requests_raised","30"
"stakeholder_responses_received","26"
"average_response_time_days","8.5"
"departments_involved","6"
"coordination_requests_raised","22"
"coordination_requests_resolved","18"
