"Field Name","Value"
"project_name","Bengaluru Outer Ring Road Transit Corridor"
"state","Karnataka"
"district","Bengaluru Urban"
"project_type","URBAN"
"land_area","65.4"
"affected_families","580"
"current_stage","Notification"
"next_stage","Objection / Hearing"
"snapshot_date","2026-06-01"
"latitude","12.9716"
"longitude","77.5946"
"approvals_required","14"
"approvals_completed","8"
"approval_process_start_date","2025-08-10"
"approval_expected_completion_date","2026-08-30"
"oldest_pending_approval_days","95"
"legal_cases_total","18"
"legal_cases_resolved","2"
"disputed_land_area","18.2"
"oldest_pending_case_days","260"
"compensation_total_amount","340000000"
"compensation_paid_amount","35000000"
"beneficiaries_eligible","560"
"beneficiaries_compensated","60"
"compensation_expected_completion_date","2027-03-31"
"documents_required","580"
"documents_submitted","320"
"documents_verified","190"
"notifications_required","4"
"notifications_issued","2"
"parcels_total","420"
"parcels_disputed","85"
"ownership_claims_total","490"
"ownership_conflicts_pending","65"
"ownership_conflicts_resolved","12"
"rr_families_required","190"
"rr_families_completed","15"
"land_required_for_possession","65.4"
"land_acquired_for_possession","8.5"
"possession_status","NOT_STARTED"
"stakeholder_requests_raised","40"
"stakeholder_responses_received","18"
"average_response_time_days","22.4"
"departments_involved","7"
"coordination_requests_raised","28"
"coordination_requests_resolved","10"
