"Field Name","Value"
"project_name","Solar Mega Ultra Power Park Bhadla Phase V"
"state","Rajasthan"
"district","Jodhpur"
"project_type","POWER"
"land_area","550"
"affected_families","95"
"current_stage","Rehabilitation & Resettlement"
"next_stage","Possession"
"snapshot_date","2026-06-15"
"latitude","26.2389"
"longitude","73.0243"
"approvals_required","11"
"approvals_completed","11"
"approval_process_start_date","2024-08-01"
"approval_expected_completion_date","2025-12-31"
"oldest_pending_approval_days","0"
"legal_cases_total","2"
"legal_cases_resolved","2"
"disputed_land_area","0"
"oldest_pending_case_days","0"
"compensation_total_amount","62000000"
"compensation_paid_amount","60500000"
"beneficiaries_eligible","92"
"beneficiaries_compensated","90"
"compensation_expected_completion_date","2026-07-31"
"documents_required","95"
"documents_submitted","95"
"documents_verified","95"
"notifications_required","3"
"notifications_issued","3"
"parcels_total","210"
"parcels_disputed","2"
"ownership_claims_total","212"
"ownership_conflicts_pending","0"
"ownership_conflicts_resolved","8"
"rr_families_required","28"
"rr_families_completed","26"
"land_required_for_possession","550"
"land_acquired_for_possession","510"
"possession_status","SUBSTANTIAL_POSSESSION"
"stakeholder_requests_raised","10"
"stakeholder_responses_received","10"
"average_response_time_days","5.2"
"departments_involved","3"
"coordination_requests_raised","8"
"coordination_requests_resolved","8"
