"Field Name","Value"
"project_name","Chennai Port - Maduravoyal Elevated Corridor"
"state","Tamil Nadu"
"district","Chennai"
"project_type","HIGHWAY"
"land_area","42"
"affected_families","720"
"current_stage","Objection / Hearing"
"next_stage","Land & Ownership Verification"
"snapshot_date","2026-06-25"
"latitude","13.0827"
"longitude","80.2707"
"approvals_required","16"
"approvals_completed","11"
"approval_process_start_date","2025-04-12"
"approval_expected_completion_date","2026-09-30"
"oldest_pending_approval_days","85"
"legal_cases_total","12"
"legal_cases_resolved","4"
"disputed_land_area","9.8"
"oldest_pending_case_days","180"
"compensation_total_amount","180000000"
"compensation_paid_amount","45000000"
"beneficiaries_eligible","690"
"beneficiaries_compensated","170"
"compensation_expected_completion_date","2026-12-31"
"documents_required","720"
"documents_submitted","480"
"documents_verified","360"
"notifications_required","5"
"notifications_issued","4"
"parcels_total","610"
"parcels_disputed","74"
"ownership_claims_total","660"
"ownership_conflicts_pending","48"
"ownership_conflicts_resolved","19"
"rr_families_required","240"
"rr_families_completed","50"
"land_required_for_possession","42"
"land_acquired_for_possession","12"
"possession_status","IN_PROGRESS"
"stakeholder_requests_raised","22"
"stakeholder_responses_received","14"
"average_response_time_days","16"
"departments_involved","5"
"coordination_requests_raised","18"
"coordination_requests_resolved","10"
