"Field Name","Value"
"project_name","Bhopal Metro Rail Phase II Depot & Viaduct"
"state","Madhya Pradesh"
"district","Bhopal"
"project_type","URBAN"
"land_area","38.5"
"affected_families","310"
"current_stage","Possession"
"next_stage","Acquisition Completion"
"snapshot_date","2026-07-01"
"latitude","23.2599"
"longitude","77.4126"
"approvals_required","12"
"approvals_completed","12"
"approval_process_start_date","2024-09-15"
"approval_expected_completion_date","2026-01-31"
"oldest_pending_approval_days","0"
"legal_cases_total","5"
"legal_cases_resolved","5"
"disputed_land_area","0"
"oldest_pending_case_days","0"
"compensation_total_amount","52000000"
"compensation_paid_amount","51200000"
"beneficiaries_eligible","305"
"beneficiaries_compensated","301"
"compensation_expected_completion_date","2026-06-30"
"documents_required","310"
"documents_submitted","310"
"documents_verified","310"
"notifications_required","4"
"notifications_issued","4"
"parcels_total","280"
"parcels_disputed","0"
"ownership_claims_total","282"
"ownership_conflicts_pending","0"
"ownership_conflicts_resolved","14"
"rr_families_required","75"
"rr_families_completed","73"
"land_required_for_possession","38.5"
"land_acquired_for_possession","36.5"
"possession_status","SUBSTANTIAL_POSSESSION"
"stakeholder_requests_raised","14"
"stakeholder_responses_received","14"
"average_response_time_days","7.1"
"departments_involved","4"
"coordination_requests_raised","12"
"coordination_requests_resolved","12"
