"Field Name","Value"
"project_name","Pune Ring Road West Alignment Package II"
"state","Maharashtra"
"district","Pune"
"project_type","HIGHWAY"
"land_area","165"
"affected_families","520"
"current_stage","Objection / Hearing"
"next_stage","Land & Ownership Verification"
"snapshot_date","2026-07-20"
"latitude","18.5204"
"longitude","73.8567"
"approvals_required","15"
"approvals_completed","11"
"approval_process_start_date","2025-07-01"
"approval_expected_completion_date","2026-10-31"
"oldest_pending_approval_days","65"
"legal_cases_total","9"
"legal_cases_resolved","4"
"disputed_land_area","19.5"
"oldest_pending_case_days","150"
"compensation_total_amount","190000000"
"compensation_paid_amount","72000000"
"beneficiaries_eligible","495"
"beneficiaries_compensated","185"
"compensation_expected_completion_date","2027-01-31"
"documents_required","520"
"documents_submitted","410"
"documents_verified","310"
"notifications_required","5"
"notifications_issued","4"
"parcels_total","680"
"parcels_disputed","54"
"ownership_claims_total","710"
"ownership_conflicts_pending","41"
"ownership_conflicts_resolved","22"
"rr_families_required","160"
"rr_families_completed","45"
"land_required_for_possession","165"
"land_acquired_for_possession","55"
"possession_status","IN_PROGRESS"
"stakeholder_requests_raised","28"
"stakeholder_responses_received","18"
"average_response_time_days","15"
"departments_involved","5"
"coordination_requests_raised","20"
"coordination_requests_resolved","12"
