"Field Name","Value"
"project_name","Jewar International Airport Cargo Link Rail"
"state","Uttar Pradesh"
"district","Noida"
"project_type","RAILWAY"
"land_area","92.5"
"affected_families","280"
"current_stage","Rehabilitation & Resettlement"
"next_stage","Possession"
"snapshot_date","2026-07-25"
"latitude","28.5355"
"longitude","77.391"
"approvals_required","14"
"approvals_completed","14"
"approval_process_start_date","2024-10-01"
"approval_expected_completion_date","2026-02-28"
"oldest_pending_approval_days","0"
"legal_cases_total","3"
"legal_cases_resolved","3"
"disputed_land_area","0"
"oldest_pending_case_days","0"
"compensation_total_amount","84000000"
"compensation_paid_amount","81000000"
"beneficiaries_eligible","275"
"beneficiaries_compensated","268"
"compensation_expected_completion_date","2026-08-31"
"documents_required","280"
"documents_submitted","280"
"documents_verified","275"
"notifications_required","4"
"notifications_issued","4"
"parcels_total","360"
"parcels_disputed","4"
"ownership_claims_total","365"
"ownership_conflicts_pending","2"
"ownership_conflicts_resolved","16"
"rr_families_required","82"
"rr_families_completed","78"
"land_required_for_possession","92.5"
"land_acquired_for_possession","85"
"possession_status","SUBSTANTIAL_POSSESSION"
"stakeholder_requests_raised","16"
"stakeholder_responses_received","16"
"average_response_time_days","6.8"
"departments_involved","4"
"coordination_requests_raised","15"
"coordination_requests_resolved","14"
