"Field Name","Value"
"project_name","Thane-Borivali Twin Tunnel South Approach"
"state","Maharashtra"
"district","Thane"
"project_type","HIGHWAY"
"land_area","28"
"affected_families","390"
"current_stage","Notification"
"next_stage","Objection / Hearing"
"snapshot_date","2026-08-01"
"latitude","19.2183"
"longitude","72.9781"
"approvals_required","12"
"approvals_completed","6"
"approval_process_start_date","2026-01-10"
"approval_expected_completion_date","2026-11-30"
"oldest_pending_approval_days","110"
"legal_cases_total","15"
"legal_cases_resolved","1"
"disputed_land_area","8.5"
"oldest_pending_case_days","220"
"compensation_total_amount","160000000"
"compensation_paid_amount","12000000"
"beneficiaries_eligible","370"
"beneficiaries_compensated","25"
"compensation_expected_completion_date","2027-06-30"
"documents_required","390"
"documents_submitted","180"
"documents_verified","90"
"notifications_required","4"
"notifications_issued","2"
"parcels_total","310"
"parcels_disputed","68"
"ownership_claims_total","350"
"ownership_conflicts_pending","55"
"ownership_conflicts_resolved","8"
"rr_families_required","140"
"rr_families_completed","10"
"land_required_for_possession","28"
"land_acquired_for_possession","3.2"
"possession_status","NOT_STARTED"
"stakeholder_requests_raised","35"
"stakeholder_responses_received","12"
"average_response_time_days","25"
"departments_involved","6"
"coordination_requests_raised","24"
"coordination_requests_resolved","7"
