"Field Name","Value"
"project_name","Madurai Industrial Corridor Water Feeder Pipeline"
"state","Tamil Nadu"
"district","Madurai"
"project_type","PIPELINE"
"land_area","52"
"affected_families","140"
"current_stage","Award / Valuation"
"next_stage","Compensation Disbursement"
"snapshot_date","2026-08-05"
"latitude","9.9252"
"longitude","78.1198"
"approvals_required","9"
"approvals_completed","8"
"approval_process_start_date","2025-06-10"
"approval_expected_completion_date","2026-09-30"
"oldest_pending_approval_days","35"
"legal_cases_total","2"
"legal_cases_resolved","1"
"disputed_land_area","3"
"oldest_pending_case_days","80"
"compensation_total_amount","36000000"
"compensation_paid_amount","22000000"
"beneficiaries_eligible","135"
"beneficiaries_compensated","85"
"compensation_expected_completion_date","2026-11-30"
"documents_required","140"
"documents_submitted","132"
"documents_verified","120"
"notifications_required","3"
"notifications_issued","3"
"parcels_total","195"
"parcels_disputed","8"
"ownership_claims_total","200"
"ownership_conflicts_pending","6"
"ownership_conflicts_resolved","10"
"rr_families_required","25"
"rr_families_completed","18"
"land_required_for_possession","52"
"land_acquired_for_possession","35"
"possession_status","PARTIAL_POSSESSION"
"stakeholder_requests_raised","11"
"stakeholder_responses_received","9"
"average_response_time_days","9.2"
"departments_involved","3"
"coordination_requests_raised","9"
"coordination_requests_resolved","7"
