"Field Name","Value"
"project_name","Surat Diamond Bourse Connectivity Link"
"state","Gujarat"
"district","Surat"
"project_type","URBAN"
"land_area","31.2"
"affected_families","190"
"current_stage","Possession"
"next_stage","Acquisition Completion"
"snapshot_date","2026-08-15"
"latitude","21.1702"
"longitude","72.8311"
"approvals_required","10"
"approvals_completed","10"
"approval_process_start_date","2024-11-20"
"approval_expected_completion_date","2026-03-31"
"oldest_pending_approval_days","0"
"legal_cases_total","2"
"legal_cases_resolved","2"
"disputed_land_area","0"
"oldest_pending_case_days","0"
"compensation_total_amount","42000000"
"compensation_paid_amount","41500000"
"beneficiaries_eligible","185"
"beneficiaries_compensated","182"
"compensation_expected_completion_date","2026-07-31"
"documents_required","190"
"documents_submitted","190"
"documents_verified","188"
"notifications_required","3"
"notifications_issued","3"
"parcels_total","220"
"parcels_disputed","1"
"ownership_claims_total","222"
"ownership_conflicts_pending","1"
"ownership_conflicts_resolved","12"
"rr_families_required","42"
"rr_families_completed","41"
"land_required_for_possession","31.2"
"land_acquired_for_possession","29.8"
"possession_status","SUBSTANTIAL_POSSESSION"
"stakeholder_requests_raised","12"
"stakeholder_responses_received","12"
"average_response_time_days","6.2"
"departments_involved","3"
"coordination_requests_raised","11"
"coordination_requests_resolved","11"
