"Field Name","Value"
"project_name","Indore-Ujjain Industrial Water Supply Conduit"
"state","Madhya Pradesh"
"district","Indore"
"project_type","PIPELINE"
"land_area","64"
"affected_families","160"
"current_stage","Land & Ownership Verification"
"next_stage","Award / Valuation"
"snapshot_date","2026-08-20"
"latitude","22.7196"
"longitude","75.8577"
"approvals_required","10"
"approvals_completed","8"
"approval_process_start_date","2025-08-01"
"approval_expected_completion_date","2026-10-31"
"oldest_pending_approval_days","40"
"legal_cases_total","3"
"legal_cases_resolved","2"
"disputed_land_area","5"
"oldest_pending_case_days","75"
"compensation_total_amount","39000000"
"compensation_paid_amount","18000000"
"beneficiaries_eligible","150"
"beneficiaries_compensated","70"
"compensation_expected_completion_date","2026-12-31"
"documents_required","160"
"documents_submitted","140"
"documents_verified","110"
"notifications_required","3"
"notifications_issued","3"
"parcels_total","230"
"parcels_disputed","15"
"ownership_claims_total","235"
"ownership_conflicts_pending","11"
"ownership_conflicts_resolved","9"
"rr_families_required","30"
"rr_families_completed","14"
"land_required_for_possession","64"
"land_acquired_for_possession","26"
"possession_status","IN_PROGRESS"
"stakeholder_requests_raised","14"
"stakeholder_responses_received","10"
"average_response_time_days","11"
"departments_involved","3"
"coordination_requests_raised","10"
"coordination_requests_resolved","7"
