"Field Name","Value"
"project_name","Coimbatore Bypass Rail Flyover Link (COMPLETED TEST 2)"
"state","Tamil Nadu"
"district","Coimbatore"
"project_type","RAILWAY"
"land_area","58.5"
"affected_families","165"
"current_stage","Acquisition Completion"
"next_stage",""
"snapshot_date","2026-09-05"
"latitude","11.0168"
"longitude","76.9558"
"approvals_required","10"
"approvals_completed","10"
"approval_process_start_date","2024-03-01"
"approval_expected_completion_date","2024-12-31"
"oldest_pending_approval_days","0"
"legal_cases_total","4"
"legal_cases_resolved","4"
"disputed_land_area","0"
"oldest_pending_case_days","0"
"compensation_total_amount","52000000"
"compensation_paid_amount","52000000"
"beneficiaries_eligible","165"
"beneficiaries_compensated","165"
"compensation_expected_completion_date","2025-08-31"
"documents_required","165"
"documents_submitted","165"
"documents_verified","165"
"notifications_required","3"
"notifications_issued","3"
"parcels_total","220"
"parcels_disputed","0"
"ownership_claims_total","220"
"ownership_conflicts_pending","0"
"ownership_conflicts_resolved","12"
"rr_families_required","32"
"rr_families_completed","32"
"land_required_for_possession","58.5"
"land_acquired_for_possession","58.5"
"possession_status","COMPLETED"
"stakeholder_requests_raised","12"
"stakeholder_responses_received","12"
"average_response_time_days","4.5"
"departments_involved","3"
"coordination_requests_raised","10"
"coordination_requests_resolved","10"
